dist,pow,lum
0.014,0.1,3.2
0.014,0.2,6.5
0.014,0.3,9.8
0.014,0.4,13
0.014,0.5,16.3
0.014,0.6,19.6
0.014,0.7,22.9
0.014,0.8,26.2
0.014,0.9,29.5
0.014,1,32.8
0.014,1.1,36.1
0.014,1.2,39.4
0.014,1.3,42.7
0.014,1.4,46
0.014,1.5,49.3
0.014,1.6,52.5
0.014,1.7,55.8
0.014,1.8,59
0.014,1.9,62.2
0.015,0,0
0.015,0.1,2.9
0.015,0.2,5.9
0.015,0.3,8.9
0.015,0.4,11.9
0.015,0.5,14.9
0.015,0.6,17.9
0.015,0.7,20.9
0.015,0.8,24
0.015,0.9,27
0.015,1,30
0.015,1.1,33
0.015,1.2,36
0.015,1.3,39
0.015,1.4,42
0.015,1.5,45
0.015,1.6,48
0.015,1.7,51
0.015,1.8,54
0.015,1.9,56.9
0.016,0,0
0.016,0.1,2.7
0.016,0.2,5.4
0.016,0.3,8.2
0.016,0.4,10.9
0.016,0.5,13.7
0.016,0.6,16.4
0.016,0.7,19.2
0.016,0.8,22
0.016,0.9,24.7
0.016,1,27.5
0.016,1.1,30.2
0.016,1.2,33
0.016,1.3,35.8
0.016,1.4,38.5
0.016,1.5,41.3
0.016,1.6,44
0.016,1.7,46.7
0.016,1.8,49.5
0.016,1.9,52.2
0.017,0,0
0.017,0.1,2.5
0.017,0.2,5
0.017,0.3,7.5
0.017,0.4,10.1
0.017,0.5,12.6
0.017,0.6,15.1
0.017,0.7,17.7
0.017,0.8,20.2
0.017,0.9,22.8
0.017,1,25.3
0.017,1.1,27.9
0.017,1.2,30.4
0.017,1.3,33
0.017,1.4,35.5
0.017,1.5,38
0.017,1.6,40.6
0.017,1.7,43.1
0.017,1.8,45.6
0.017,1.9,48.1
0.018,0,0
0.018,0.1,2.3
0.018,0.2,4.6
0.018,0.3,7
0.018,0.4,9.3
0.018,0.5,11.6
0.018,0.6,14
0.018,0.7,16.3
0.018,0.8,18.7
0.018,0.9,21.1
0.018,1,23.4
0.018,1.1,25.8
0.018,1.2,28.1
0.018,1.3,30.5
0.018,1.4,32.8
0.018,1.5,35.2
0.018,1.6,37.5
0.018,1.7,39.8
0.018,1.8,42.2
0.018,1.9,44.5
0.019,0,0
0.019,0.1,2.1
0.019,0.2,4.3
0.019,0.3,6.4
0.019,0.4,8.6
0.019,0.5,10.8
0.019,0.6,13
0.019,0.7,15.2
0.019,0.8,17.4
0.019,0.9,19.5
0.019,1,21.7
0.019,1.1,23.9
0.019,1.2,26.1
0.019,1.3,28.3
0.019,1.4,30.4
0.019,1.5,32.6
0.019,1.6,34.8
0.019,1.7,37
0.019,1.8,39.2
0.019,1.9,41.3
0.02,0,0
0.02,0.1,2
0.02,0.2,4
0.02,0.3,6
0.02,0.4,8
0.02,0.5,10
0.02,0.6,12.1
0.02,0.7,14.1
0.02,0.8,16.1
0.02,0.9,18.2
0.02,1,20.2
0.02,1.1,22.2
0.02,1.2,24.3
0.02,1.3,26.3
0.02,1.4,28.3
0.02,1.5,30.3
0.02,1.6,32.4
0.02,1.7,34.4
0.02,1.8,36.4
0.02,1.9,38.4
0.021,0,0
0.021,0.1,1.8
0.021,0.2,3.7
0.021,0.3,5.6
0.021,0.4,7.5
0.021,0.5,9.4
0.021,0.6,11.3
0.021,0.7,13.2
0.021,0.8,15.1
0.021,0.9,17
0.021,1,18.9
0.021,1.1,20.8
0.021,1.2,22.7
0.021,1.3,24.6
0.021,1.4,26.5
0.021,1.5,28.4
0.021,1.6,30.3
0.021,1.7,32.1
0.021,1.8,34
0.021,1.9,35.9
0.022,0,0
0.022,0.1,1.7
0.022,0.2,3.5
0.022,0.3,5.3
0.022,0.4,7
0.022,0.5,8.8
0.022,0.6,10.6
0.022,0.7,12.3
0.022,0.8,14.1
0.022,0.9,15.9
0.022,1,17.7
0.022,1.1,19.5
0.022,1.2,21.2
0.022,1.3,23
0.022,1.4,24.8
0.022,1.5,26.6
0.022,1.6,28.3
0.022,1.7,30.1
0.022,1.8,31.9
0.022,1.9,33.7
0.023,0,0
0.023,0.1,1.6
0.023,0.2,3.3
0.023,0.3,4.9
0.023,0.4,6.6
0.023,0.5,8.3
0.023,0.6,9.9
0.023,0.7,11.6
0.023,0.8,13.3
0.023,0.9,14.9
0.023,1,16.6
0.023,1.1,18.3
0.023,1.2,19.9
0.023,1.3,21.6
0.023,1.4,23.3
0.023,1.5,24.9
0.023,1.6,26.6
0.023,1.7,28.3
0.023,1.8,29.9
