dist,pow,lum
0.008,5,265.9
0.008,5.1,269.7
0.008,5.2,273.5
0.008,5.3,277.2
0.008,5.4,280.8
0.008,5.5,284.3
0.008,5.6,287.8
0.008,5.7,291.3
0.008,5.8,294.6
0.008,5.9,298
0.008,6,301.3
0.009,4,199.4
0.009,4.1,203.5
0.009,4.2,207.5
0.009,4.3,211.5
0.009,4.4,215.4
0.009,4.5,219.3
0.009,4.6,223.2
0.009,4.7,227
0.009,4.8,230.8
0.009,4.9,234.6
0.009,5,238.3
0.009,5.1,241.9
0.009,5.2,245.5
0.009,5.3,249.1
0.009,5.4,252.6
0.009,5.5,256.1
0.009,5.6,259.5
0.009,5.7,262.9
0.009,5.8,266.2
0.009,5.9,269.5
0.009,6,272.6
0.01,4,179
0.01,4.1,182.7
0.01,4.2,186.4
0.01,4.3,190
0.01,4.4,193.7
0.01,4.5,197.3
0.01,4.6,200.8
0.01,4.7,204.4
0.01,4.8,207.9
0.01,4.9,211.3
0.01,5,214.8
0.01,5.1,218.2
0.01,5.2,221.7
0.01,5.3,225
0.01,5.4,228.4
0.01,5.5,231.6
0.01,5.6,234.9
0.01,5.7,238.1
0.01,5.8,241.4
0.01,5.9,244.5
0.01,6,247.6
0.011,4,161.3
0.011,4.1,164.7
0.011,4.2,168
0.011,4.3,171.4
0.011,4.4,174.7
0.011,4.5,178
0.011,4.6,181.3
0.011,4.7,184.6
0.011,4.8,187.8
0.011,4.9,191.1
0.011,5,194.3
0.011,5.1,197.4
0.011,5.2,200.6
0.011,5.3,203.7
0.011,5.4,206.8
0.011,5.5,209.9
0.011,5.6,213
0.011,5.7,216
0.011,5.8,219
0.011,5.9,222
0.011,6,224.9
0.012,4,146.4
0.012,4.1,149.5
0.012,4.2,152.6
0.012,4.3,155.7
0.012,4.4,158.7
0.012,4.5,161.8
0.012,4.6,164.8
0.012,4.7,167.8
0.012,4.8,170.8
0.012,4.9,173.8
0.012,5,176.8
0.012,5.1,179.7
0.012,5.2,182.7
0.012,5.3,185.6
0.012,5.4,188.5
0.012,5.5,191.3
0.012,5.6,194.2
0.012,5.7,197
0.012,5.8,199.8
0.012,5.9,202.6
0.012,6,205.4
0.013,4,133.6
0.013,4.1,136.4
0.013,4.2,139.3
0.013,4.3,142.1
0.013,4.4,144.9
0.013,4.5,147.7
0.013,4.6,150.5
0.013,4.7,153.3
0.013,4.8,156.1
0.013,4.9,158.8
0.013,5,161.6
0.013,5.1,164.3
0.013,5.2,167
0.013,5.3,169.8
0.013,5.4,172.4
0.013,5.5,175.1
0.013,5.6,177.8
0.013,5.7,180.4
0.013,5.8,183.1
0.013,5.9,185.7
0.013,6,188.3
0.014,4,122.5
0.014,4.1,125.1
0.014,4.2,127.8
0.014,4.3,130.4
0.014,4.4,133
0.014,4.5,135.6
0.014,4.6,138.2
0.014,4.7,140.8
0.014,4.8,143.3
0.014,4.9,145.9
0.014,5,148.4
0.014,5.1,151
0.014,5.2,153.5
0.014,5.3,156
0.014,5.4,158.5
0.014,5.5,161
0.014,5.6,163.5
0.014,5.7,166
0.014,5.8,168.4
0.014,5.9,170.9
0.014,6,173.3
0.015,4,112.9
0.015,4.1,115.4
0.015,4.2,117.8
0.015,4.3,120.2
0.015,4.4,122.7
0.015,4.5,125.1
0.015,4.6,127.5
0.015,4.7,129.9
0.015,4.8,132.3
0.015,4.9,134.7
0.015,5,137
0.015,5.1,139.4
0.015,5.2,141.7
0.015,5.3,144.1
0.015,5.4,146.4
0.015,5.5,148.7
0.015,5.6,151.1
0.015,5.7,153.4
0.015,5.8,155.7
0.015,5.9,158
0.015,6,160.2
0.016,4,104.3
0.016,4.1,106.6
0.016,4.2,108.9
0.016,4.3,111.1
0.016,4.4,113.4
0.016,4.5,115.6
0.016,4.6,117.9
0.016,4.7,120.1
0.016,4.8,122.3
0.016,4.9,124.5
0.016,5,126.8
0.016,5.1,129
0.016,5.2,131.1
0.016,5.3,133.3
0.016,5.4,135.5
0.016,5.5,137.7
0.016,5.6,139.8
0.016,5.7,142
0.016,5.8,144.1
0.016,5.9,146.3
0.016,6,148.4
0.017,4,96.8
0.017,4.1,99
0.017,4.2,101.1
0.017,4.3,103.2
0.017,4.4,105.3
0.017,4.5,107.4
0.017,4.6,109.5
0.017,4.7,111.6
0.017,4.8,113.7
0.017,4.9,115.7
0.017,5,117.8
0.017,5.1,119.9
0.017,5.2,121.9
0.017,5.3,124
0.017,5.4,126
0.017,5.5,128
0.017,5.6,130.1
0.017,5.7,132.1
0.017,5.8,134.1
0.017,5.9,136.1
0.017,6,138.1
0.018,4,90.1
0.018,4.1,92.1
0.018,4.2,94.1
0.018,4.3,96.1
0.018,4.4,98
0.018,4.5,100
0.018,4.6,101.9
0.018,4.7,103.9
0.018,4.8,105.8
0.018,4.9,107.8
0.018,5,109.7
0.018,5.1,111.6
0.018,5.2,113.6
0.018,5.3,115.5
0.018,5.4,117.4
0.018,5.5,119.3
0.018,5.6,121.2
0.018,5.7,123.1
0.018,5.8,125
0.018,5.9,126.9
0.018,6,128.7
0.019,4,84.1
0.019,4.1,86
0.019,4.2,87.8
0.019,4.3,89.7
0.019,4.4,91.5
0.019,4.5,93.4
0.019,4.6,95.2
0.019,4.7,97.1
0.019,4.8,98.9
0.019,4.9,100.7
0.019,5,102.5
0.019,5.1,104.3
0.019,5.2,106.1
0.019,5.3,107.9
0.019,5.4,109.7
0.019,5.5,111.5
0.019,5.6,113.3
0.019,5.7,115.1
0.019,5.8,116.9
0.019,5.9,118.6
0.019,6,120.4
0.02,4,78.6
0.02,4.1,80.4
0.02,4.2,82.1
0.02,4.3,83.9
0.02,4.4,85.6
0.02,4.5,87.3
0.02,4.6,89.1
0.02,4.7,90.8
0.02,4.8,92.5
0.02,4.9,94.2
0.02,5,95.9
0.02,5.1,97.6
0.02,5.2,99.3
0.02,5.3,101
0.02,5.4,102.7
0.02,5.5,104.4
0.02,5.6,106.1
0.02,5.7,107.7
0.02,5.8,109.4
0.02,5.9,111.1
0.02,6,112.7
0.021,4,73.8
0.021,4.1,75.5
0.021,4.2,77.1
0.021,4.3,78.8
0.021,4.4,80.4
0.021,4.5,82
0.021,4.6,83.7
0.021,4.7,85.3
0.021,4.8,86.9
0.021,4.9,88.5
0.021,5,90.1
0.021,5.1,91.7
0.021,5.2,93.3
0.021,5.3,94.9
0.021,5.4,96.5
0.021,5.5,98.1
0.021,5.6,99.7
0.021,5.7,101.3
0.021,5.8,102.9
0.021,5.9,104.4
0.021,6,106
0.022,4,69.4
0.022,4.1,71
0.022,4.2,72.6
0.022,4.3,74.1
0.022,4.4,75.7
0.022,4.5,77.2
0.022,4.6,78.8
0.022,4.7,80.3
0.022,4.8,81.8
0.022,4.9,83.4
0.022,5,84.9
0.022,5.1,86.4
0.022,5.2,87.9
0.022,5.3,89.4
0.022,5.4,90.9
0.022,5.5,92.4
0.022,5.6,93.9
0.022,5.7,95.4
0.022,5.8,96.9
0.022,5.9,98.4
0.022,6,99.9
0.023,4,65.4
0.023,4.1,66.9
0.023,4.2,68.4
0.023,4.3,69.9
0.023,4.4,71.3
0.023,4.5,72.8
0.023,4.6,74.3
0.023,4.7,75.7
0.023,4.8,77.2
0.023,4.9,78.6
0.023,5,80.1
0.023,5.1,81.5
0.023,5.2,82.9
0.023,5.3,84.3
0.023,5.4,85.8
0.023,5.5,87.2
0.023,5.6,88.6
0.023,5.7,90
0.023,5.8,91.4
0.023,5.9,92.8
0.023,6,94.3
0.024,4,61.7
0.024,4.1,63.2
0.024,4.2,64.6
0.024,4.3,66
0.024,4.4,67.4
0.024,4.5,68.8
0.024,4.6,70.2
0.024,4.7,71.6
0.024,4.8,73
0.024,4.9,74.3
0.024,5,75.7
0.024,5.1,77
0.024,5.2,78.4
0.024,5.3,79.8
0.024,5.4,81.1
0.024,5.5,82.5
0.024,5.6,83.8
0.024,5.7,85.2
0.024,5.8,86.5
0.024,5.9,87.8
0.024,6,89.2
0.025,4,58.4
0.025,4.1,59.8
0.025,4.2,61.1
0.025,4.3,62.5
0.025,4.4,63.8
0.025,4.5,65.1
0.025,4.6,66.5
0.025,4.7,67.8
0.025,4.8,69.1
0.025,4.9,70.4
0.025,5,71.7
0.025,5.1,73
0.025,5.2,74.3
0.025,5.3,75.6
0.025,5.4,76.9
0.025,5.5,78.2
0.025,5.6,79.4
0.025,5.7,80.7
0.025,5.8,82
0.025,5.9,83.3
0.025,6,84.5
